text;cleaned_array;cleaned_text;label;topic_name;tsne-2d-one;tsne-2d-two
остались ли у меня бесплатные минуты, не подскажешь?;['остаться', 'бесплатный', 'минута', 'подсказать'];остаться бесплатный минута подсказать;6;balance_2;-6.429246;12.239087
Телефон не видит сеть не отображется ни одной палки;['телефон', 'видеть', 'сеть', 'отобразаться', 'палка'];телефон видеть сеть отобразаться палка;3;sim-cards;7.742661;1.424569
ну а сколько стоит на Плутон перейти?;['сколько', 'стоить', 'плутон', 'перейти'];сколько стоить плутон перейти;2;costs;2.5629923;12.071681
переход на новый тариф цена;['переход', 'новый', 'тариф', 'цена'];переход новый тариф цена;5;tariffs;-1.6294973;-11.005867
Могу ли я по смс проверить остатки минут/смс по пакету?;['мочь', 'смс', 'проверить', 'остаток', 'минута', 'смс', 'пакет'];мочь смс проверить остаток минута смс пакет;1;balance_1;-11.239573;4.530084
Как снять блокировку сим карты?;['снять', 'блокировка', 'сим', 'карта'];снять блокировка сим карта;3;sim-cards;12.101715;8.607031
сколько стоит роуминг по Европе?;['сколько', 'стоить', 'роуминг', 'европа'];сколько стоить роуминг европа;2;costs;2.7129989;14.286347
Нет связи после перехода на новый тариф;['связь', 'переход', 'новый', 'тариф'];связь переход новый тариф;5;tariffs;0.9646209;-10.294846
да!, а какой пин для настроек инета вводить?;['пин', 'настройка', 'инет', 'вводить'];пин настройка инет вводить;4;pin-codes;13.998189;-7.257081
Купил сим карту с Юпитер вставил в телефон sony ericsson experia x8 ввел 0000 и сеть не находит. что делать?;['купить', 'сим', 'карта', 'юпитер', 'вставить', 'телефон', 'sony', 'ericsson', 'experia', 'x', 'ввести', 'сеть', 'находить', 'делать'];купить сим карта юпитер вставить телефон sony ericsson experia x ввести сеть находить делать;3;sim-cards;9.903493;5.721342
Со вчерашнего дня нет сети,вечный поиск сети;['вчерашний', 'день', 'сеть', 'вечный', 'поиск', 'сеть'];вчерашний день сеть вечный поиск сеть;3;sim-cards;6.939613;-6.278434
Нет связи?;['связь'];связь;3;sim-cards;6.400562;-4.74835
Подскажите, пожалуйста, сколько стоит международный звонок на моем тарифном плане?;['подсказать', 'пожалуйста', 'сколько', 'стоить', 'международный', 'звонок', 'тарифный', 'план'];подсказать пожалуйста сколько стоить международный звонок тарифный план;2;costs;1.485094;8.707687
Опять сеть недоступна;['сеть', 'недоступный'];сеть недоступный;3;sim-cards;10.480389;-2.6795113
цена звонка за рубеж на моём тарифе;['цена', 'звонок', 'рубеж', 'тариф'];цена звонок рубеж тариф;5;tariffs;-8.313176;-11.576625
Стоимость исходящих вызовов в роуминге?;['стоимость', 'исходящий', 'вызов', 'роуминг'];стоимость исходящий вызов роуминг;5;tariffs;-3.7191637;-10.793174
Почему отсутствует сигнал сотовой связи?;['почему', 'отсутствовать', 'сигнал', 'сотовый', 'связь'];почему отсутствовать сигнал сотовый связь;3;sim-cards;5.686082;-4.1883826
Сколько будет стоить тариф Сатурн;['сколько', 'стоить', 'тариф', 'сатурн'];сколько стоить тариф сатурн;2;costs;0.9838697;14.291921
Добрый день, как я могу восстановить забытый пин-код ?;['добрый', 'день', 'мочь', 'восстановить', 'забытый', 'пин', 'код'];добрый день мочь восстановить забытый пин код;4;pin-codes;15.878126;-1.9311575
Поменял симку с обычной на нано. А тел запрашивает ПИН-код. А мне его не сказали. Что делать?;['поменять', 'симка', 'обычный', 'нано', 'тел', 'запрашивать', 'пин', 'код', 'сказать', 'делать'];поменять симка обычный нано тел запрашивать пин код сказать делать;4;pin-codes;14.815401;-5.189289
Тариф Сатурн включает в 300 минут звонки на все сотовые всех операторов России?;['тариф', 'сатурн', 'включать', 'минута', 'звонок', 'всё', 'сотовый', 'весь', 'оператор', 'россия'];тариф сатурн включать минута звонок всё сотовый весь оператор россия;5;tariffs;-8.735794;-6.922172
Где я могу получить информацию по остатку интернета? Мой тариф Сатурн;['мочь', 'получить', 'информация', 'остаток', 'интернет', 'тариф', 'сатурн'];мочь получить информация остаток интернет тариф сатурн;1;balance_1;-10.117679;1.3406202
Здравствуйте. Не активируется Сим-карта;['здравствуйте', 'активироваться', 'сим', 'карта'];здравствуйте активироваться сим карта;3;sim-cards;10.138203;12.255033
Привет, что делать, если не знаешь пин?;['привет', 'делать', 'знать', 'пин'];привет делать знать пин;4;pin-codes;13.515903;-7.824477
Вставила симку во второй слот на телефоне, но он её не видит;['вставить', 'симка', 'второй', 'слот', 'телефон', 'её', 'видеть'];вставить симка второй слот телефон её видеть;3;sim-cards;10.386997;-1.8307837
"Где прочитать полное описание пакета, входящего в тариф ""Плутон""? ";['прочитать', 'полный', 'описание', 'пакет', 'входящий', 'тариф', 'плутон'];прочитать полный описание пакет входящий тариф плутон;5;tariffs;-7.577102;-11.507077
а входящие платно?;['входящий', 'платно'];входящий платно;5;tariffs;2.8630054;-5.641333
сколько стоит перейти с Плутон тарифа на Сатурн?;['сколько', 'стоить', 'перейти', 'плутон', 'тариф', 'сатурн'];сколько стоить перейти плутон тариф сатурн;2;costs;0.0685436;10.958989
Как проверить какой остаток минут в  пакете Юпитер;['проверить', 'остаток', 'минута', 'пакет', 'юпитер'];проверить остаток минута пакет юпитер;1;balance_1;-13.346007;6.245926
Привет, жду от вас код проверки остатка на Сатурн. Спасибо.;['привет', 'ждать', 'код', 'проверка', 'остаток', 'сатурн', 'спасибо'];привет ждать код проверка остаток сатурн спасибо;1;balance_1;-6.066719;1.7890202
ну вот сколько стоят звонки из Ярославль в Москву? ;['сколько', 'стоять', 'звонок', 'ярославль', 'москва'];сколько стоять звонок ярославль москва;5;tariffs;-12.520723;-6.471447
ваша смка отказывается работать в моем телефоне. Как быть?;['ваш', 'смка', 'отказываться', 'работать', 'телефон'];ваш смка отказываться работать телефон;3;sim-cards;9.586102;-0.3880835
Добрый день. Подскажите, как тарифицируются звонки по России на Сфера - оплата из пакета или безлимитно.;['добрый', 'день', 'подсказать', 'тарифицироваться', 'звонок', 'россия', 'сфера', 'оплата', 'пакет', 'безлимитный'];добрый день подсказать тарифицироваться звонок россия сфера оплата пакет безлимитный;5;tariffs;-5.6366973;-11.917585
Не могу активизировать сим карту;['мочь', 'активизировать', 'сим', 'карта'];мочь активизировать сим карта;3;sim-cards;12.014886;9.830103
Добрый день. Скажи как происходит списание средств, если я вовремя не положил деньги и средства не списались?;['добрый', 'день', 'сказать', 'происходить', 'списание', 'средство', 'вовремя', 'положить', 'деньга', 'средство', 'списаться'];добрый день сказать происходить списание средство вовремя положить деньга средство списаться;5;tariffs;3.220006;-6.013544
Здравствуйте с наступающим Новым годом!Подскажите интернет и минуты, в тарифе Плутон, от роуминга по России зависит?;['здравствуйте', 'наступать', 'новый', 'год', 'подсказать', 'интернет', 'минута', 'тариф', 'плутон', 'роуминг', 'россия', 'зависеть'];здравствуйте наступать новый год подсказать интернет минута тариф плутон роуминг россия зависеть;5;tariffs;-7.7038445;-5.733417
Если я уезжаю из домашнего региона - тратится пакет интернета или начинается отдельная тарификация?;['уезжать', 'домашний', 'регион', 'тратиться', 'пакет', 'интернет', 'начинаться', 'отдельный', 'тарификация'];уезжать домашний регион тратиться пакет интернет начинаться отдельный тарификация;5;tariffs;3.5490594;-6.842732
Сколько у меня осталось бесплатных мб интернета;['сколько', 'остаться', 'бесплатный', 'мб', 'интернет'];сколько остаться бесплатный мб интернет;6;balance_2;-6.052688;11.586621
Где посмотреть информацию по стоимости звонков в роуминге?;['посмотреть', 'информация', 'стоимость', 'звонок', 'роуминг'];посмотреть информация стоимость звонок роуминг;5;tariffs;-14.139937;-7.834057
В смс пришли настройки, но я не смог разобраться, что за пин?;['смс', 'прислать', 'настройка', 'смочь', 'разобраться', 'пин'];смс прислать настройка смочь разобраться пин;4;pin-codes;10.034364;-11.46189
Здравствуйте, где опубликована информация об использовании пакета в роуминге?;['здравствуйте', 'опубликовать', 'информация', 'использование', 'пакет', 'роуминг'];здравствуйте опубликовать информация использование пакет роуминг;5;tariffs;1.125965;-4.8674746
ваша сим-карта не арбайтен;['ваш', 'сим', 'карта', 'арбайтный'];ваш сим карта арбайтный;3;sim-cards;11.613737;10.74836
условия тарифа Юпитер как-то изменяются в роуминге или нет?;['условие', 'тариф', 'юпитер', 'изменяться', 'роуминг'];условие тариф юпитер изменяться роуминг;5;tariffs;-1.8757485;-9.391956
"Как проверить остаток интернет трафика на тарифе ""Сатурн""?";['проверить', 'остаток', 'интернет', 'трафик', 'тариф', 'сатурн'];проверить остаток интернет трафик тариф сатурн;1;balance_1;-11.912318;2.7810826
как проверить остаток трафика на тарифе?;['проверить', 'остаток', 'трафик', 'тариф'];проверить остаток трафик тариф;1;balance_1;-11.653687;5.7409973
сколько спишут, если я хчу перейти на Аполлон со своего тарифа?;['сколько', 'списать', 'хчу', 'перейти', 'аполлон', 'свой', 'тариф'];сколько списать хчу перейти аполлон свой тариф;2;costs;0.5931169;2.938534
не могу активировать новую симку, чт делать?;['мочь', 'активировать', 'новый', 'симка', 'чт', 'делать'];мочь активировать новый симка чт делать;3;sim-cards;10.410939;0.57978505
Я еду в отпуск, сколько у меня там будут стоить звонки?;['еда', 'отпуск', 'сколько', 'стоить', 'звонок'];еда отпуск сколько стоить звонок;2;costs;2.5425994;11.161307
стоимость вызова входящего всегда бесплатна?;['стоимость', 'вызов', 'входящий', 'бесплатный'];стоимость вызов входящий бесплатный;5;tariffs;-2.7990453;-9.946982
При настройке интернета требует Пин, но он не подходит. Что делать?;['настройка', 'интернет', 'требовать', 'пин', 'подходить', 'делать'];настройка интернет требовать пин подходить делать;4;pin-codes;14.88027;-5.2361145
у меня есть фиксированный день, когда нужно вносить деньги за абонентскую плату;['фиксировать', 'день', 'нужно', 'вносить', 'деньга', 'абонентский', 'плата'];фиксировать день нужно вносить деньга абонентский плата;5;tariffs;2.971501;-6.1736555
"У меня тариф ""Юпитер"". Сколько минут я могу говорить с абонентами других операторов в домашнем регионе и по всей России?";['тариф', 'юпитер', 'сколько', 'минута', 'мочь', 'говорить', 'абонент', 'оператор', 'домашний', 'регион', 'весь', 'россия'];тариф юпитер сколько минута мочь говорить абонент оператор домашний регион весь россия;5;tariffs;-8.819299;-2.5169542
Как узнать сколько минут осталось на моем тарифе?;['узнать', 'сколько', 'минута', 'остаться', 'тариф'];узнать сколько минута остаться тариф;6;balance_2;-6.312651;15.994806
Что мне делать если я забыл пин-код;['делать', 'забыть', 'пин', 'код'];делать забыть пин код;4;pin-codes;16.68665;4.9622617
Не поняла, если мне звонят (у меня тариф Амур) — я за это тоже плачу?;['понять', 'звонить', 'тариф', 'амур', 'это', 'плач'];понять звонить тариф амур это плач;5;tariffs;1.3316475;-7.769702
Сколько стоит звонок в роуминге?;['сколько', 'стоить', 'звонок', 'роуминг'];сколько стоить звонок роуминг;2;costs;0.5771914;15.41045
Где взять пин код?;['взять', 'пин', 'код'];взять пин код;4;pin-codes;16.694536;5.022402
а у Юпитер сколько минут осталось;['юпитер', 'сколько', 'минута', 'остаться'];юпитер сколько минута остаться;6;balance_2;-6.6382217;14.588208
алоха, а остаток проверить можно?;['алох', 'остаток', 'проверить'];алох остаток проверить;1;balance_1;-7.186247;2.707442
Телефон вдруг перестал ловить сеть что делать;['телефон', 'перестать', 'ловить', 'сеть', 'делать'];телефон перестать ловить сеть делать;3;sim-cards;6.8864145;1.5271022
Почему не работает симка?;['почему', 'работать', 'симка'];почему работать симка;3;sim-cards;8.184398;5.131879
" Подскажите, пожалуйста, по тарифу ""Сатурн"". В аб. плату включено 600 мин. разговора - это и исходящие звонки и входящие? или только исходящие звонки?";['подсказать', 'пожалуйста', 'тариф', 'сатурн', 'аб', 'плата', 'включить', 'мин', 'разговор', 'это', 'исходящий', 'звонок', 'входящий', 'исходящий', 'звонок'];подсказать пожалуйста тариф сатурн аб плата включить мин разговор это исходящий звонок входящий исходящий звонок;5;tariffs;-11.697215;-9.7374735
как получить информацию о доступной длительности звонков в моем пакете?;['получить', 'информация', 'доступный', 'длительность', 'звонок', 'пакет'];получить информация доступный длительность звонок пакет;5;tariffs;-0.84186476;-8.195745
Привет. Хочу узнать остаток по тарифу?;['привет', 'хотеть', 'узнать', 'остаток', 'тариф'];привет хотеть узнать остаток тариф;1;balance_1;-13.946299;6.4698343
мой тариф включает в себя звонки другим операторам?;['тариф', 'включать', 'звонок', 'оператор'];тариф включать звонок оператор;5;tariffs;-13.285685;-8.823206
пакет смс дается на месяц?;['пакет', 'смс', 'даваться', 'месяц'];пакет смс даваться месяц;6;balance_2;-1.4090436;-1.6364572
Пополнил счет 95+40 руб. Требуемый пакет не подключили. В чем причина?;['пополнить', 'счёт', 'руб', 'требовать', 'пакет', 'подключить', 'причина'];пополнить счёт руб требовать пакет подключить причина;1;balance_1;1.5757121;-1.5636455
Где можно посмотреть про тариф Фобос — че там у него с минутами?;['посмотреть', 'тариф', 'фобос', 'че', 'минута'];посмотреть тариф фобос че минута;6;balance_2;-3.1138911;-0.45309243
Сколько стоят звонки  внутри своего региона?;['сколько', 'стоять', 'звонок', 'внутри', 'свой', 'регион'];сколько стоять звонок внутри свой регион;5;tariffs;-13.113525;-6.368213
"Как узнать остаток по тарифному плану ""Сатурн""? У меня неожиданно стали спитысавьться деньги со счета , хотя я не мог проговорить уже 1000 минут";['узнать', 'остаток', 'тарифный', 'план', 'сатурн', 'неожиданно', 'стать', 'спитысавьться', 'деньга', 'счёт', 'хотя', 'мочь', 'проговорить', 'минута'];узнать остаток тарифный план сатурн неожиданно стать спитысавьться деньга счёт хотя мочь проговорить минута;1;balance_1;-7.758611;3.123726
тел не видит сим;['тел', 'видеть', 'сим'];тел видеть сим;3;sim-cards;9.452899;5.696246
а сколько минут в пакете Плутон?;['сколько', 'минута', 'пакет', 'плутон'];сколько минута пакет плутон;6;balance_2;-6.393695;8.6251545
Перешел на тариф Юпитер, как теперь узнать о балансе трафика и минутах?;['перейти', 'тариф', 'юпитер', 'узнать', 'баланс', 'трафик', 'минута'];перейти тариф юпитер узнать баланс трафик минута;6;balance_2;-3.673528;0.9889903
сим не активируется;['сим', 'активироваться'];сим активироваться;3;sim-cards;7.0806932;4.2264395
Проблемы с регистрацией в сети с новой симкартой;['проблема', 'регистрация', 'сеть', 'новый', 'симкарта'];проблема регистрация сеть новый симкарта;3;sim-cards;8.979933;-4.6733627
а сколько стоит позвонить в европу на Плутон тарифе?;['сколько', 'стоить', 'позвонить', 'европа', 'плутон', 'тариф'];сколько стоить позвонить европа плутон тариф;2;costs;1.6047219;11.197923
Почему не получается позвонить, на балансе 100 рублей, сим карта не работает!;['почему', 'получаться', 'позвонить', 'баланс', 'рубль', 'сим', 'карта', 'работать'];почему получаться позвонить баланс рубль сим карта работать;3;sim-cards;11.88502;7.2022076
у меня не работает симка;['работать', 'симка'];работать симка;3;sim-cards;9.114802;5.5541325
сколько стоит звонок на Тор;['сколько', 'стоить', 'звонок', 'тор'];сколько стоить звонок тор;2;costs;1.9486612;13.229381
как узнать сколько минут осталось?;['узнать', 'сколько', 'минута', 'остаться'];узнать сколько минута остаться;6;balance_2;-6.2488046;16.161293
Подскажите, сколько у меня бесплатных минут, тариф Плутон.;['подсказать', 'сколько', 'бесплатный', 'минута', 'тариф', 'плутон'];подсказать сколько бесплатный минута тариф плутон;6;balance_2;-11.211056;-2.0266023
не помню пин-код. как узнать?;['помнить', 'пин', 'код', 'узнать'];помнить пин код узнать;4;pin-codes;16.612755;4.341323
Как узнать неизрасходованные смс. Звонки и инет по тарифу Плутон?;['узнать', 'неизрасходованный', 'смс', 'звонок', 'инет', 'тариф', 'плутон'];узнать неизрасходованный смс звонок инет тариф плутон;5;tariffs;-10.557495;-7.926273
антенна показывает что сети нет;['антенна', 'показывать', 'сеть'];антенна показывать сеть;3;sim-cards;6.75796;-4.975395
Какова стоимость международного звонка на моем тарифе?;['каков', 'стоимость', 'международный', 'звонок', 'тариф'];каков стоимость международный звонок тариф;5;tariffs;-14.211966;-7.964165
добрый день . уже 2 Уран не видят симку . вводил пин код 0000 и 610 . номер 9773093317;['добрый', 'день', 'уран', 'видеть', 'симка', 'вводить', 'пин', 'код', 'номер'];добрый день уран видеть симка вводить пин код номер;4;pin-codes;14.485556;-4.33898
Цена звонков на тарифе Плутон;['цена', 'звонок', 'тариф', 'плутон'];цена звонок тариф плутон;5;tariffs;-18.783905;-3.8061318
Скока стоит позвонить на Украину?;['скок', 'стоить', 'позвонить', 'украина'];скок стоить позвонить украина;2;costs;3.0958765;6.4935074
не могу активировать сим карту;['мочь', 'активировать', 'сим', 'карта'];мочь активировать сим карта;3;sim-cards;8.035644;15.372972
а что входит в пакет тарифа Уран?;['входить', 'пакет', 'тариф', 'уран'];входить пакет тариф уран;5;tariffs;-7.134416;-1.5324244
Почему 2G может не работать?;['почему', 'g', 'мочь', 'работать'];почему g мочь работать;3;sim-cards;7.6986256;1.4292543
 Здравствуйте. Почему нет связи в Осинском районе Ярославль области? Когда появиться?;['здравствуйте', 'почему', 'связь', 'осинский', 'район', 'ярославль', 'область', 'появиться'];здравствуйте почему связь осинский район ярославль область появиться;5;tariffs;4.82224;-6.6069794
хочу позвонить за границу, но не знаю сколько будет мне стоить минута;['хотеть', 'позвонить', 'граница', 'знать', 'сколько', 'стоить', 'минута'];хотеть позвонить граница знать сколько стоить минута;2;costs;3.6052666;12.365848
Сим карта неактивна;['сим', 'карта', 'неактивный'];сим карта неактивный;3;sim-cards;9.658589;12.766259
Симка перестала работать. Что делать?;['симка', 'перестать', 'работать', 'делать'];симка перестать работать делать;3;sim-cards;5.9203157;3.1171944
ага. а кок мне отменить запрос пин-кода?;['ага', 'кок', 'отменить', 'запрос', 'пин', 'код'];ага кок отменить запрос пин код;4;pin-codes;15.327424;-4.1395693
Сколько стоят минуты на тарифе желтый?;['сколько', 'стоять', 'минута', 'тариф', 'жёлтый'];сколько стоять минута тариф жёлтый;5;tariffs;-9.863547;-2.4180257
Симка не работает на 2G? почему?;['симка', 'работать', 'g', 'почему'];симка работать g почему;3;sim-cards;7.0400023;4.170407
Установил новую сим в телефон, но пиишет, что сеть недоступна;['установить', 'новый', 'сим', 'телефон', 'пиисать', 'сеть', 'недоступный'];установить новый сим телефон пиисать сеть недоступный;3;sim-cards;6.799338;2.510275
"в тарифе ""Сатурн "" 300 минут в сутки ?";['тариф', 'сатурн', 'минута', 'сутки'];тариф сатурн минута сутки;5;tariffs;-5.6293273;-1.6628693
привет, какую команду надо набрать, чтобы узнать остаток тарифа? у меня Сатурн;['привет', 'команда', 'набрать', 'узнать', 'остаток', 'тариф', 'сатурн'];привет команда набрать узнать остаток тариф сатурн;1;balance_1;-13.380593;5.769368
в пакете еще есть интеренет?;['пакет', 'ещё', 'интереть'];пакет ещё интереть;6;balance_2;-0.57290244;-0.21488236
Пприветствую, почем нынче замена тарифа? Хочу Сатурн.;['пприветствовать', 'почём', 'нынче', 'замена', 'тариф', 'хотеть', 'сатурн'];пприветствовать почём нынче замена тариф хотеть сатурн;5;tariffs;1.2899792;-7.132756
в моем тарифе есть звонки по спб;['тариф', 'звонок', 'спб'];тариф звонок спб;5;tariffs;-10.670582;-10.598993
если я звоню не на Сфера-шный номер, сколько это будет стоить? У меня тариф Плутон;['звонить', 'сфера', 'шный', 'номер', 'сколько', 'это', 'стоить', 'тариф', 'плутон'];звонить сфера шный номер сколько это стоить тариф плутон;5;tariffs;1.0699486;5.097272
Привет. У меня тариф Сатурн, подскажите стоимость смс на нем!;['привет', 'тариф', 'сатурн', 'подсказать', 'стоимость', 'смс', 'немой'];привет тариф сатурн подсказать стоимость смс немой;5;tariffs;-8.063611;-6.2402024
Подскажите, как я могу узнать остаток предоплаченного пакета?;['подсказать', 'мочь', 'узнать', 'остаток', 'предоплатить', 'пакет'];подсказать мочь узнать остаток предоплатить пакет;1;balance_1;-11.243364;5.9427657
Добрый день. как мне узнать какого числа произойдёт списание по тарифу;['добрый', 'день', 'узнать', 'число', 'произойти', 'списание', 'тариф'];добрый день узнать число произойти списание тариф;5;tariffs;-2.1544178;-2.5659869
сколько у меня минут осталось, как посмотреть?;['сколько', 'минута', 'остаться', 'посмотреть'];сколько минута остаться посмотреть;6;balance_2;-6.6668224;14.19486
Где посмотреть расход предоплаченного пакета?;['посмотреть', 'расход', 'предоплатить', 'пакет'];посмотреть расход предоплатить пакет;1;balance_1;0.6079122;-0.91022253
Пропала сеть на двух номерах Сфера С телефонами все в порядке,другие сим-карты работают,в чем проблема?;['пропасть', 'сеть', 'номер', 'сфера', 'телефон', 'всё', 'порядок', 'сим', 'карта', 'работать', 'проблема'];пропасть сеть номер сфера телефон всё порядок сим карта работать проблема;3;sim-cards;11.111161;8.384761
Пишет: нет связи!;['писать', 'связь'];писать связь;3;sim-cards;6.2000775;-4.5821095
" Тариф ""Плутон""- где стоимость звонков на других операторов региона?";['тариф', 'плутон', 'стоимость', 'звонок', 'оператор', 'регион'];тариф плутон стоимость звонок оператор регион;5;tariffs;-18.814703;-3.817486
подскажите, пожалуйста, как посмотреть остаток минут и смс на тарифе Плутон?;['подсказать', 'пожалуйста', 'посмотреть', 'остаток', 'минута', 'смс', 'тариф', 'плутон'];подсказать пожалуйста посмотреть остаток минута смс тариф плутон;5;tariffs;-12.325739;0.63399994
Здравствуйте! По шагам объясните как активировать сим карту? ничего не получается;['здравствуйте', 'шаг', 'объяснить', 'активировать', 'сим', 'карта', 'получаться'];здравствуйте шаг объяснить активировать сим карта получаться;3;sim-cards;10.643414;6.3420467
Привет, нет связи и сим карта не работает, в чем дело?;['привет', 'связь', 'сим', 'карта', 'работать', 'дело'];привет связь сим карта работать дело;3;sim-cards;10.576714;11.86759
Сколько у меня стоят звонки в роуминге;['сколько', 'стоять', 'звонок', 'роуминг'];сколько стоять звонок роуминг;5;tariffs;-15.097314;-3.0823603
Необходима информация о ТП Плутон в роуминге;['необходимый', 'информация', 'тп', 'плутон', 'роуминг'];необходимый информация тп плутон роуминг;5;tariffs;-1.521517;-9.850449
Какое количеств минут включено в пакет?;['количество', 'минута', 'включить', 'пакет'];количество минута включить пакет;6;balance_2;-3.6074858;1.0416425
симка стала постоянно терять сеть. Как исправить?;['симка', 'стать', 'постоянно', 'терять', 'сеть', 'исправить'];симка стать постоянно терять сеть исправить;3;sim-cards;6.801426;-4.9678187
Добрый день, информация о роуминге по стране, размещенная на вашем сайте относится ко всей России или отличается по регионам. Мой тариф Уран.;['добрый', 'день', 'информация', 'роуминг', 'страна', 'разместить', 'ваш', 'сайт', 'относиться', 'весь', 'россия', 'отличаться', 'регион', 'тариф', 'уран'];добрый день информация роуминг страна разместить ваш сайт относиться весь россия отличаться регион тариф уран;5;tariffs;-1.7229197;-11.090839
как узнать сколько минут из оплаченных ранее у меня осталось? тариф Сатурн;['узнать', 'сколько', 'минута', 'оплатить', 'ранее', 'остаться', 'тариф', 'сатурн'];узнать сколько минута оплатить ранее остаться тариф сатурн;6;balance_2;-6.71593;11.798024
ничего у вас не понимаю, сколько ещё минут и интернета осталось в пакете тарифа у меня:;['понимать', 'сколько', 'ещё', 'минута', 'интернет', 'остаться', 'пакет', 'тариф'];понимать сколько ещё минута интернет остаться пакет тариф;6;balance_2;-5.2727485;9.444306
Смски другим операторам входят в тариф или надо платить отдельно?;['смска', 'оператор', 'входить', 'тариф', 'платить', 'отдельно'];смска оператор входить тариф платить отдельно;5;tariffs;-2.2283902;-10.865685
Насколько актуальна информация о внутрисетевом роуминге на сайте и отличается ли стоимость услуг связи в Москве от стоимости по всей России?;['насколько', 'актуальный', 'информация', 'внутрисетевой', 'роуминг', 'сайт', 'отличаться', 'стоимость', 'услуга', 'связь', 'москва', 'стоимость', 'весь', 'россия'];насколько актуальный информация внутрисетевой роуминг сайт отличаться стоимость услуга связь москва стоимость весь россия;5;tariffs;-1.4924666;-10.509597
стоимость минуты в роуминге;['стоимость', 'минута', 'роуминг'];стоимость минута роуминг;5;tariffs;-8.174929;-4.181393
в день я только с Сфера могу говорить нормально со своим тарифом?;['день', 'сфера', 'мочь', 'говорить', 'нормально', 'свой', 'тариф'];день сфера мочь говорить нормально свой тариф;5;tariffs;0.6546881;-10.948266
"Сколько минут включено в абонентскую плату по тарифу ""Плутон""";['сколько', 'минута', 'включить', 'абонентский', 'плата', 'тариф', 'плутон'];сколько минута включить абонентский плата тариф плутон;5;tariffs;-10.475061;-2.3830645
Отличается ли тариф на интернет в роуминге и дома? ;['отличаться', 'тариф', 'интернет', 'роуминг', 'дом'];отличаться тариф интернет роуминг дом;5;tariffs;1.3708736;-12.780657
"Если тариф ""Сатурн"", то звонки и смс по России на другие операторы 0 рублей?";['тариф', 'сатурн', 'звонок', 'смс', 'россия', 'оператор', 'рубль'];тариф сатурн звонок смс россия оператор рубль;5;tariffs;-12.61286;-8.048087
Полетела симка, хрен знает как сделать, поэтому решил спросить;['полететь', 'симка', 'хрен', 'знать', 'сделать', 'поэтому', 'решить', 'спросить'];полететь симка хрен знать сделать поэтому решить спросить;3;sim-cards;4.909713;-3.771513
СКОЛЬКО СТОЯТ МИНУТЫ НА Сфера ПО РОССИИ НА ТАРИФЕ Сатурн????;['сколько', 'стоять', 'минута', 'сфера', 'россия', 'тариф', 'сатурн'];сколько стоять минута сфера россия тариф сатурн;5;tariffs;-10.580156;-4.0300364
Сколько осталось бесплтаных смс;['сколько', 'остаться', 'бесплтаный', 'смс'];сколько остаться бесплтаный смс;6;balance_2;-5.5400863;10.427686
а два гига это на весь месяц или на каждый день;['гиг', 'это', 'весь', 'месяц', 'каждый', 'день'];гиг это весь месяц каждый день;5;tariffs;3.2197301;-5.792503
Не работает сим в телефоне;['работать', 'сим', 'телефон'];работать сим телефон;3;sim-cards;9.915512;12.495271
Привет, на Сатурн как списываются деньги?;['привет', 'сатурн', 'списываться', 'деньга'];привет сатурн списываться деньга;5;tariffs;-0.48392987;-3.2292411
Влияет ли день перехода на списывание абонентской платы?;['влиять', 'день', 'переход', 'списывание', 'абонентский', 'плата'];влиять день переход списывание абонентский плата;5;tariffs;2.4177566;-7.053689
Какая стоимость звонков внутри области по моему тарифу;['стоимость', 'звонок', 'внутри', 'область', 'тариф'];стоимость звонок внутри область тариф;5;tariffs;-15.219691;-6.105375
Сколько минут на звонки в МФ, Бее и Конус на тарифе Плутон?;['сколько', 'минута', 'звонок', 'мф', 'бей', 'конус', 'тариф', 'плутон'];сколько минута звонок мф бей конус тариф плутон;5;tariffs;-9.7764635;-3.0398006
Пользуюсь тарифом Сатурн. Там 400 минут для звонков абонентам вашим можно использовать?;['пользоваться', 'тариф', 'сатурн', 'минута', 'звонок', 'абонент', 'ваш', 'использовать'];пользоваться тариф сатурн минута звонок абонент ваш использовать;5;tariffs;-7.701734;-5.9838066
Какую команду надо набрать, чтобы получить инфу по остатку минут и сообщений?;['команда', 'набрать', 'получить', 'инф', 'остаток', 'минута', 'сообщение'];команда набрать получить инф остаток минута сообщение;1;balance_1;-8.106034;3.6713123
подскажите как можно отключить PIN код на сим карте, спасибо;['подсказать', 'отключить', 'pin', 'код', 'сим', 'карта', 'спасибо'];подсказать отключить pin код сим карта спасибо;3;sim-cards;12.733667;1.846402
подскажите, как смотреть остаток минут по тарифу Юпитер?;['подсказать', 'смотреть', 'остаток', 'минута', 'тариф', 'юпитер'];подсказать смотреть остаток минута тариф юпитер;1;balance_1;-10.860626;2.6700532
здрасьте! у меня симка не регится;['здравствуй', 'симка', 'региться'];здравствуй симка региться;3;sim-cards;5.6991153;-4.216969
Где узнать команду для просмотра оставшихся минут на своем тарифе?;['узнать', 'команда', 'просмотр', 'остаться', 'минута', 'свой', 'тариф'];узнать команда просмотр остаться минута свой тариф;6;balance_2;-4.8007464;8.662117
